company,education,experience,industry,jobdescription,jobid,joblocation_address,jobtitle,numberofpositions,payrate,postdate,site_name,skills,uniq_id
Cisco,,3-5 Yrs,,". Cisco emphasizes a culture of inclusion and diversity, encouraging employees to bring...",,"Mumbai, Gurugram, Bengaluru","Solutions Engineer, Networking Architecture",,,2026-03-06 04:59:12 +0000,,"Wireless,Sales,Networking,Consulting,Manager Technology,Presales,SMB,Sales process",
Citiustech,,6-11 Yrs,,"Technical Lead for MLOPSLocation: Mumbai, Pune, Bangalore, ChennaiNotice Period: Immedi...",,"Hybrid - Pune, Chennai, Mumbai (All Areas)",MLOPs - Technical Specialist/Lead,,,2026-03-06 04:59:12 +0000,,"MLOps,ML Lifecycle Management,AWS Sagemaker,Machine Learning,Data Science,AWS,Life Cycle Management,Life cycle",
Accenture,,8-13 Yrs,,A cross Levels - Comms & Media- Networks Join our team in Strategy consulting to find e...,,"Mumbai, Pune, Gurugram",GN-Comms & Media -Mobile Private Networks Senior Manager,,,2026-03-06 04:59:12 +0000,,"Network technologies,database system,Network operations,PLC,Network Analytics,Wireless network technologies,network architecture,SCADA",
Atos,,4-8 Yrs,,"Dear Candidate, This is with reference for Opportunity for Scala /python professionals...",,"Pune, Bengaluru, Mumbai (All Areas)","Opportunity For Scala, Python with SQL Professionals",,,2026-03-06 04:59:12 +0000,,"GCP,SCALA,Python,SQL",
Hexaware Technologies,,9-13 Yrs,,We are looking for the Immediate joiner only. Experience Required:- 5 years to 14 Years...,,"Hyderabad, Pune, Mumbai (All Areas)",Senior Python Developer,,,2026-03-06 04:59:12 +0000,,"Pyspark,Fast Api,Aws Glue,React.Js,Python,Glue,Senior,Development",
BDO India,,0-1 Yrs,,"Preparing deliverables capturing implications arrived based on above research, in word,...",,"Mumbai, Bengaluru",CA Fresher - M&A Tax and Regulatory Advisory,,,2026-03-06 04:59:12 +0000,,"Taxation,Advisory,Ca,Regulatory,M",
Capgemini,,4-9 Yrs,,Experience with SAP implementation projects from start to finish,,"Mumbai, Pune, Bengaluru",SAP Consultant (BTP / BW4 / MDG),,,2026-03-06 04:59:12 +0000,,"SAP implementation,RAP,MDG,BW4HANA,SAP BTP,BTP stack,ABAP CDS,Abap",
Hexaware Technologies,,8-12 Yrs,,"Strong experience in frameworks/ modules like Spring Core, Spring MVC, Spring AOP, Spri...",,"Hybrid - Pune, Chennai, Mumbai (All Areas)",Java Full Stack Lead,,,2026-03-06 04:59:12 +0000,,"Java,S3,EC2,Spring Boot,react,Java Fullstack,AWS,Lambda",
Atos,,9-12 Yrs,,"Role: SailPoint IIQ DeveloperExperience: 7yrs-12yrsLocation: Bangalore, Mumbai, PuneRe...",,"Pune, Bengaluru, Mumbai (All Areas)",SailPoint Identity IQ Lead,,,2026-03-06 04:59:12 +0000,,"Iiq,Sailpoint,Identityiq,Sailpoint Identity Management,IQ,Identity management,Management",
NTT DATA Business Solutions,,7-12 Yrs,,SAP Certification in preferred Must have at least 1-2 Implementation on S4 Hana version...,,"Hyderabad, Bengaluru, Mumbai (All Areas)",Senior Sap Fico Consultant,,,2026-03-06 04:59:12 +0000,,"SAP FICO,End To End Implementation,Controlling,S4 Hana,Copa,Product Costing,SAP CO,Material Ledger",
BDO India,,0-1 Yrs,,Experience- FresherMotivating the Articles & providing them the required training on th...,,"Hybrid - Mumbai, Hyderabad, Gurugram",Associate- Risk Advisory (Internal Audit),,,2026-03-06 09:17:52 +0000,,"Internal Audit,Internal Control,Risk Assurance,Ifc,Risk Advisory,Internal Control Review,Risk Based Audits,Process Audit",
Deloitte Consulting,,0 Yrs,,"Your potential, unleashed.Indias impact on the global economy has increased at an expo...",,"Chennai, Bengaluru, Mumbai (All Areas)","Assistant Manager | Direct Tax (EXPAT Tax) |Mumbai, Bangalore, Chennai",,,2026-03-06 09:17:52 +0000,,"Direct Tax,DTAA,Individual Taxation,HNI,NRI,Assistance,Management,Expat",
Tata Consultancy Services,,6-8 Yrs,,Experience with PostgreSQL and MongoDB (or similar non-SQL environments). Experience as...,,"Mumbai, Gurugram, Bengaluru",.NET Software Developer,,,2026-03-06 09:17:52 +0000,,"React.Js,Javascript And Jquery,.Net core & core with cloud,Postgresql,Agile,MongoDB,Development,Javascript",
Tata Consultancy Services,,3-5 Yrs,,Experience: 3-5. Experience in writing validation report . Methods: Historical simulati...,,"Pune, Bengaluru, Mumbai (All Areas)",Market Risk Analyst,,,2026-03-06 09:17:52 +0000,,"FRM,Market Risk,Liquidity Risk,Risk,Liquidity",
Tata Consultancy Services,,5-10 Yrs,,"Experience - 5- 10 Yrs . Location- Chennai, Bangalore, Kolkata, Pune, Mumbai .",,"Pune, Bengaluru, Mumbai (All Areas)",Java Spring Boot Developer,,,2026-03-06 09:17:52 +0000,,"Java,Spring Boot,Microservices,Spring,Development,Boot,Java Spring Boot",
Tata Consultancy Services,,5-8 Yrs,,Greetings!TCS India presents excellent opportunities for IT professionals.Role :- Snow...,,"Pune, Chennai, Mumbai (All Areas)",Snowflake Developer,,,2026-03-06 09:17:52 +0000,,"Snowflake,ETL,SQL,Java,Python,Development",
Cisco,,3-5 Yrs,,". Cisco emphasizes a culture of inclusion and diversity, encouraging employees to bring...",,"Mumbai, Gurugram, Bengaluru","Solutions Engineer, Networking Architecture",,,2026-03-06 09:17:52 +0000,,"Wireless,Sales,Networking,Consulting,Manager Technology,Presales,SMB,Sales process",
Citiustech,,6-11 Yrs,,"Technical Lead for MLOPSLocation: Mumbai, Pune, Bangalore, ChennaiNotice Period: Immedi...",,"Hybrid - Pune, Chennai, Mumbai (All Areas)",MLOPs - Technical Specialist/Lead,,,2026-03-06 09:17:52 +0000,,"MLOps,ML Lifecycle Management,AWS Sagemaker,Machine Learning,Data Science,AWS,Life Cycle Management,Life cycle",
Accenture,,8-13 Yrs,,A cross Levels - Comms & Media- Networks Join our team in Strategy consulting to find e...,,"Mumbai, Pune, Gurugram",GN-Comms & Media -Mobile Private Networks Senior Manager,,,2026-03-06 09:17:52 +0000,,"Network technologies,database system,Network operations,PLC,Network Analytics,Wireless network technologies,network architecture,SCADA",
Atos,,4-8 Yrs,,"Dear Candidate, This is with reference for Opportunity for Scala /python professionals...",,"Pune, Bengaluru, Mumbai (All Areas)","Opportunity For Scala, Python with SQL Professionals",,,2026-03-06 09:17:52 +0000,,"GCP,SCALA,Python,SQL",
Hexaware Technologies,,9-13 Yrs,,We are looking for the Immediate joiner only. Experience Required:- 5 years to 14 Years...,,"Hyderabad, Pune, Mumbai (All Areas)",Senior Python Developer,,,2026-03-06 09:17:52 +0000,,"Pyspark,Fast Api,Aws Glue,React.Js,Python,Glue,Senior,Development",
Capgemini,,6-11 Yrs,,Required Skills . Backend Skills Cloud platforms (AWS / Azure / GCP preferred),,"Hybrid - Bangalore Rural, Gurugram, Mumbai (All Areas)",Java Full Stack Developer,,,2026-03-06 09:17:52 +0000,,"Fullstack Development,React.Js,Microservices,Spring Boot,Full Stack,Bootstrap,Boot,Stack",
Capgemini,,6-9 Yrs,,exposure to SAP modules is highly preferredStrong experience in manual testing,,"Mumbai, Pune, Bengaluru",Manual Testing Engineer - SAP,,,2026-03-06 09:17:52 +0000,,"Manual Testing,software development,SAP,software design,test cases,software engineering,research,SDLC",
Capgemini,,4-9 Yrs,,Experience with SAP implementation projects from start to finish,,"Mumbai, Pune, Bengaluru",SAP Consultant (BTP / BW4 / MDG),,,2026-03-06 09:17:52 +0000,,"SAP implementation,RAP,MDG,BW4HANA,SAP BTP,BTP stack,ABAP CDS,Abap",
Atos,,10-13 Yrs,,"Experience: 10 years + Strong experience with Ruby on Rails, along with common librarie...",,"Hybrid - Pune, Chennai, Mumbai (All Areas)",ROR Technical Architect,,,2026-03-06 09:17:52 +0000,,"Resque,Rspec,Ruby Rails,Javascript,Ror,Database,Ruby,DBMS",
Hexaware Technologies,,8-12 Yrs,,"Strong experience in frameworks/ modules like Spring Core, Spring MVC, Spring AOP, Spri...",,"Hybrid - Pune, Chennai, Mumbai (All Areas)",Java Full Stack Lead,,,2026-03-06 09:17:52 +0000,,"Java,S3,EC2,Spring Boot,react,Java Fullstack,AWS,Lambda",
Hexaware Technologies,,8-13 Yrs,,We are looking for the Immediate joiner only. Experience Required:- 5 years to 14 Years...,,"Pune, Chennai, Mumbai (All Areas)",Python with React.js,,,2026-03-06 09:17:52 +0000,,"Fast Api,React.Js,AWS,Python,API",
Atos,,9-12 Yrs,,"Role: SailPoint IIQ DeveloperExperience: 7yrs-12yrsLocation: Bangalore, Mumbai, PuneRe...",,"Pune, Bengaluru, Mumbai (All Areas)",SailPoint Identity IQ Lead,,,2026-03-06 09:17:52 +0000,,"Iiq,Sailpoint,Identityiq,Sailpoint Identity Management,IQ,Identity management,Management",
NTT DATA Business Solutions,,7-12 Yrs,,SAP Certification in preferred Must have at least 1-2 Implementation on S4 Hana version...,,"Hyderabad, Bengaluru, Mumbai (All Areas)",Senior Sap Fico Consultant,,,2026-03-06 09:17:52 +0000,,"SAP FICO,End To End Implementation,Controlling,S4 Hana,Copa,Product Costing,SAP CO,Material Ledger",
BDO India,,0-1 Yrs,,Experience- FresherMotivating the Articles & providing them the required training on th...,,"Hybrid - Mumbai, Hyderabad, Gurugram",Associate- Risk Advisory (Internal Audit),,,2026-03-06 09:37:09 +0000,,"Internal Audit,Internal Control,Risk Assurance,Ifc,Risk Advisory,Internal Control Review,Risk Based Audits,Process Audit",
Deloitte Consulting,,0 Yrs,,"Your potential, unleashed.Indias impact on the global economy has increased at an expo...",,"Chennai, Bengaluru, Mumbai (All Areas)","Assistant Manager | Direct Tax (EXPAT Tax) |Mumbai, Bangalore, Chennai",,,2026-03-06 09:37:09 +0000,,"Direct Tax,DTAA,Individual Taxation,HNI,NRI,Assistance,Management,Expat",
Tata Consultancy Services,,6-8 Yrs,,Experience with PostgreSQL and MongoDB (or similar non-SQL environments). Experience as...,,"Mumbai, Gurugram, Bengaluru",.NET Software Developer,,,2026-03-06 09:37:09 +0000,,"React.Js,Javascript And Jquery,.Net core & core with cloud,Postgresql,Agile,MongoDB,Development,Javascript",
Tata Consultancy Services,,3-5 Yrs,,Experience: 3-5. Experience in writing validation report . Methods: Historical simulati...,,"Pune, Bengaluru, Mumbai (All Areas)",Market Risk Analyst,,,2026-03-06 09:37:09 +0000,,"FRM,Market Risk,Liquidity Risk,Risk,Liquidity",
Tata Consultancy Services,,5-10 Yrs,,"Experience - 5- 10 Yrs . Location- Chennai, Bangalore, Kolkata, Pune, Mumbai .",,"Pune, Bengaluru, Mumbai (All Areas)",Java Spring Boot Developer,,,2026-03-06 09:37:09 +0000,,"Java,Spring Boot,Microservices,Spring,Development,Boot,Java Spring Boot",
Tata Consultancy Services,,5-8 Yrs,,Greetings!TCS India presents excellent opportunities for IT professionals.Role :- Snow...,,"Pune, Chennai, Mumbai (All Areas)",Snowflake Developer,,,2026-03-06 09:37:09 +0000,,"Snowflake,ETL,SQL,Java,Python,Development",
Cisco,,3-5 Yrs,,". Cisco emphasizes a culture of inclusion and diversity, encouraging employees to bring...",,"Mumbai, Gurugram, Bengaluru","Solutions Engineer, Networking Architecture",,,2026-03-06 09:37:09 +0000,,"Wireless,Sales,Networking,Consulting,Manager Technology,Presales,SMB,Sales process",
Citiustech,,6-11 Yrs,,"Technical Lead for MLOPSLocation: Mumbai, Pune, Bangalore, ChennaiNotice Period: Immedi...",,"Hybrid - Pune, Chennai, Mumbai (All Areas)",MLOPs - Technical Specialist/Lead,,,2026-03-06 09:37:09 +0000,,"MLOps,ML Lifecycle Management,AWS Sagemaker,Machine Learning,Data Science,AWS,Life Cycle Management,Life cycle",
Accenture,,8-13 Yrs,,A cross Levels - Comms & Media- Networks Join our team in Strategy consulting to find e...,,"Mumbai, Pune, Gurugram",GN-Comms & Media -Mobile Private Networks Senior Manager,,,2026-03-06 09:37:09 +0000,,"Network technologies,database system,Network operations,PLC,Network Analytics,Wireless network technologies,network architecture,SCADA",
Atos,,4-8 Yrs,,"Dear Candidate, This is with reference for Opportunity for Scala /python professionals...",,"Pune, Bengaluru, Mumbai (All Areas)","Opportunity For Scala, Python with SQL Professionals",,,2026-03-06 09:37:09 +0000,,"GCP,SCALA,Python,SQL",
Hexaware Technologies,,9-13 Yrs,,We are looking for the Immediate joiner only. Experience Required:- 5 years to 14 Years...,,"Hyderabad, Pune, Mumbai (All Areas)",Senior Python Developer,,,2026-03-06 09:37:09 +0000,,"Pyspark,Fast Api,Aws Glue,React.Js,Python,Glue,Senior,Development",
Capgemini,,6-11 Yrs,,Required Skills . Backend Skills Cloud platforms (AWS / Azure / GCP preferred),,"Hybrid - Bangalore Rural, Gurugram, Mumbai (All Areas)",Java Full Stack Developer,,,2026-03-06 09:37:09 +0000,,"Fullstack Development,React.Js,Microservices,Spring Boot,Full Stack,Bootstrap,Boot,Stack",
Capgemini,,6-9 Yrs,,exposure to SAP modules is highly preferredStrong experience in manual testing,,"Mumbai, Pune, Bengaluru",Manual Testing Engineer - SAP,,,2026-03-06 09:37:09 +0000,,"Manual Testing,software development,SAP,software design,test cases,software engineering,research,SDLC",
Capgemini,,4-9 Yrs,,Experience with SAP implementation projects from start to finish,,"Mumbai, Pune, Bengaluru",SAP Consultant (BTP / BW4 / MDG),,,2026-03-06 09:37:09 +0000,,"SAP implementation,RAP,MDG,BW4HANA,SAP BTP,BTP stack,ABAP CDS,Abap",
Atos,,10-13 Yrs,,"Experience: 10 years + Strong experience with Ruby on Rails, along with common librarie...",,"Hybrid - Pune, Chennai, Mumbai (All Areas)",ROR Technical Architect,,,2026-03-06 09:37:09 +0000,,"Resque,Rspec,Ruby Rails,Javascript,Ror,Database,Ruby,DBMS",
Hexaware Technologies,,8-12 Yrs,,"Strong experience in frameworks/ modules like Spring Core, Spring MVC, Spring AOP, Spri...",,"Hybrid - Pune, Chennai, Mumbai (All Areas)",Java Full Stack Lead,,,2026-03-06 09:37:09 +0000,,"Java,S3,EC2,Spring Boot,react,Java Fullstack,AWS,Lambda",
Hexaware Technologies,,8-13 Yrs,,We are looking for the Immediate joiner only. Experience Required:- 5 years to 14 Years...,,"Pune, Chennai, Mumbai (All Areas)",Python with React.js,,,2026-03-06 09:37:09 +0000,,"Fast Api,React.Js,AWS,Python,API",
Atos,,9-12 Yrs,,"Role: SailPoint IIQ DeveloperExperience: 7yrs-12yrsLocation: Bangalore, Mumbai, PuneRe...",,"Pune, Bengaluru, Mumbai (All Areas)",SailPoint Identity IQ Lead,,,2026-03-06 09:37:09 +0000,,"Iiq,Sailpoint,Identityiq,Sailpoint Identity Management,IQ,Identity management,Management",
NTT DATA Business Solutions,,7-12 Yrs,,SAP Certification in preferred Must have at least 1-2 Implementation on S4 Hana version...,,"Hyderabad, Bengaluru, Mumbai (All Areas)",Senior Sap Fico Consultant,,,2026-03-06 09:37:09 +0000,,"SAP FICO,End To End Implementation,Controlling,S4 Hana,Copa,Product Costing,SAP CO,Material Ledger",
Titan Company,,0-5 Yrs,,Responsibilities:Conduct eye exams using advanced technologyPrescribe glasses & contact...,,"Kolhapur, Pune, Mumbai (All Areas)",Optometrist,,,2026-03-06 09:37:09 +0000,,"Optical Sales,Optometry,Optics,Refraction,Dispensing,Sales",
Bajaj Finance,,0-2 Yrs,,Required Qualifications and Experience,,"Mumbai, Pune, Delhi / NCR",Senior Executive - Debt Management Services - Rural,,,2026-03-06 09:37:09 +0000,,"debt management,handle escalations,legal guidelines,loans,legal,collection,recovery,Management services",
Bajaj Finance,,0-2 Yrs,,Required Qualifications and Experience,,"Mumbai, Pune, Delhi / NCR",Executive - Debt Management Services - Rural,,,2026-03-06 09:37:09 +0000,,"debt management,handle escalations,legal guidelines,loans,legal,collection,recovery,Management services",
EY,,0-1 Yrs,,Qualified Chartered Accountant (Freshers) Preferred Candidate Profile: . Willingness to...,,"Hybrid - Mumbai, Pune, Ahmedabad",Consultant - Tax & Consulting (CA Freshers),,,2026-03-06 09:37:09 +0000,,"Risk Consulting,Taxation,Internal Audit,TDS,Corporate Taxation,Gst,Transfer Pricing,Ca",
Deloitte Consulting,,3-6 Yrs,,Graduates / Semi-Qualified C.A / C.S / MBA(Finance) with 3-6 years of Experience in Ind...,,Mumbai,Assistant Manager | GST & Pre GST Advisory | Indirect Tax,,,2026-03-06 09:37:09 +0000,,"Tally,Data analysis,SAP,Compliance,Senior Executive,MIS,Analytical,Indirect taxation",
Tata Consultancy Services,,8-13 Yrs,,"Location: Bhubaneshwar, Pune, Mumbai, Bangalore, Hyderabad, Chennai, KolkataResponsibi...",,"Bhubaneswar, Pune, Mumbai (All Areas)",Azure AI Consultant/Technical lead Position,,,2026-03-06 09:37:09 +0000,,"Artificial Intelligence,Azure Ai,RAG,LLM,Machine Learning,Generative Ai,Technical,Microsoft Azure",
Tata Consultancy Services,,7-12 Yrs,,"Bachelors degree in Computer Science, Engineering, or related fieldMUST) Experience : 6...",,"Kolkata, Pune, Mumbai (All Areas)",Sailpoint Tester,,,2026-03-06 09:37:09 +0000,,"JAVA,Sailpoint,Sailpoint Testing,IAM,SELINIUM,JIRA,Software testing,Selenium",
Fairmont Hotels Resorts,,0-2 Yrs,,Establish and maintain seamless co-ordination & co-operation with all departments of th...,,"Mumbai, Pune, Khopoli",GSA - Housekeeping Professional,,,2026-03-06 09:37:09 +0000,,"Housekeeping,Customer satisfaction,guest satisfaction,Time management,Area Executive,Guest service,Time Managements,GTA",
Tata Consultancy Services,,10-20 Yrs,,Experience Range: 10 Years & Above,,"Hyderabad, Pune, Mumbai (All Areas)",Sap Project Manager,,,2026-03-06 09:37:09 +0000,,"SAP Active Project Manager,SAP Delivery Manager,SAP Project Management,SAP Implementation Project,Leadership,Project Management,SAP Activity Methodology,SAP program Manager",
Citiustech,,6-11 Yrs,,Working Hours: Starlight shift 2 PM to 11 PM IST Experience converting Teradata SQL to ...,,"Hybrid - Pune, Chennai, Mumbai (All Areas)",Technical Lead / Technical Specialist - AWS Redshift SQL Developer,,,2026-03-06 09:37:09 +0000,,"Redshift Aws,SQL Development,ETL,Performance Tuning,SQL,Query Optimization,Amazon Redshift,Wlm",
Infosys,,3-8 Yrs,,"Job description:Hiring Java Developer with experience range 3 to 8 YearsSkills: Java, ...",,"Hybrid - Pune, Bengaluru, Mumbai (All Areas)",Java Developer @Infosys-SH,,,2026-03-06 09:37:09 +0000,,"Java,Hibernate,Spring Mvc,J2Ee,Spring Boot,Microservices,Spring,Development",
Citiustech,,5-10 Yrs,,Availability: Immediate Joiners / Early Joiners Preferred. Key Skills Required: Azure D...,,"Hybrid - Pune, Bengaluru, Mumbai (All Areas)",Azure Devops - Lead,,,2026-03-06 09:37:09 +0000,,"Azure Pipelines,Azure Infrastructure,Terraform,Azure Devops,Kubernetes,Azure Data Factory,Jenkins,Ci Cd Pipeline",
Deloitte Consulting,,3-6 Yrs,,"In addition to living our purpose, Senior Executive across our organization must strive...",,Mumbai,T&T | EAD | Engineering | Senior Consultant,,,2026-03-06 09:37:09 +0000,,"Data migration,GCP,Analytical,MySQL,Agile,Data processing,Workflow,Stakeholder management",
Citiustech,,5-10 Yrs,,"Proficiency in shell scripting, especially Bash or Python or PowerShell . Strong experi...",,"Hybrid - Pune, Chennai, Mumbai (All Areas)",Aws Devops Consultant,,,2026-03-06 09:37:09 +0000,,"Aws Cloudformation,Aws Devops,Terraform,Github,Kubernetes,Scripting,Devops,AWS",
Tata Consultancy Services,,7-12 Yrs,,"Role : XSOAR DeveloperExperience : 7-12 YearsLocation: Mumbai, Pune, Hyderabad, Bangalo...",,"Pune, Mumbai (All Areas)",SOAR Engineer,,,2026-03-06 09:37:09 +0000,,"FortiSOAR,SOAR,Log Management,SIEM,XSOAR,Management",
Persistent,,6-11 Yrs,,About Position: We are seeking Sr. Data Engineer with hands-on experience in azure data...,,"Mumbai, Pune, Bengaluru",Senior Data Engineer,,,2026-03-06 09:37:09 +0000,,"Pyspark,Azure Data Bricks,DLT,Azure Databricks,Data,Microsoft Azure,Data Engineering,Data Bricks",
Capgemini,,0-4 Yrs,,Goethe certificate- B2 / C1 certification OR BA / MA in German language (mandatory)Basi...,,Navi Mumbai,German Language Expert-Account,,,2026-03-06 09:37:09 +0000,,"ticketing,cloud,r,servicenow,itsm,generative ai,design,ai",
Accenture,,12-20 Yrs,,A 15 years full time education is requiredQualification 15 years full time educationEdu...,,Mumbai,Custom Software Engineer,,,2026-03-06 09:37:09 +0000,,"software engineer,front end,kubernetes,python,predictive analytics,ai,react,microservices",
REBEL FOODS,,1-3 Yrs,,ABOUT THE ROLE & KEY JOB RESPONSIBILITIESThe Program Manager will work like an entrepre...,,Mumbai,"project manager, ceo office",,,2026-03-06 09:37:09 +0000,,"Analytics,Customer Segmentation,Campaign Analytics,Customer Analytics,Project,Office,Segmentation,Management",
Accenture,,2-5 Yrs,,About The Role  Job Title: Junior Data Scientist / AI Engineer (Entry-Level) for Public...,,Mumbai,S&C Global Network - AI - Public Services- Analyst,,,2026-03-06 09:37:09 +0000,,"ai,python,c,data management,power bi,numpy,machine learning,artificial intelligence",
Hiring Client,,3-6 Yrs,,Required Skills & Experience  About the Role We are looking for dynamic Sales Executive...,,"Bengaluru, Mumbai (All Areas)",Sales Manager (Analytics & AI Services),,,2026-03-06 09:37:09 +0000,,"Business Intelligence,Data Engineering,AI Services,Sales,qlik sense,BFSI account,BI,Enterprise Business",
Tata Consultancy Services,,3-5 Yrs,,Role** Quant Analytics Sr. Associate- Model RiskLocation of Requirement Chennai/Bangalo...,,"Mumbai, Hyderabad, Chennai",Quant Analytics Sr. Associate- Model Risk,,,2026-03-06 09:37:09 +0000,,"FRM,Monte Carlo,Validation report,Liquidity Risk,Market Risk,Risk,Analytics,SR",
Capgemini,,6-10 Yrs,,Greetings from Capgemini!We are excited to invite experienced professionals for Azure D...,,"Bengaluru, Mumbai (All Areas)",Consultant_ Senior Consultant_ Manager,,,2026-03-06 09:37:09 +0000,,"Azure Devops,Azure Pass service,Azure APIM,Ci/Cd,Cd,Microsoft Azure,Management,Senior",
Kantar,,3-8 Yrs,,"Qualified accountant with 5+ years of experience (ACA, ICWAI, MBA (Fin), CA Inter, MCom...",,"Hybrid - Bengaluru, Mumbai (All Areas)",FP&A Manager,,,2026-03-06 09:37:09 +0000,,"Financial Planning And Analysis,Financial Planning,Budgeting,Forecasting,Planning,Financial analysis,Finance",
Capgemini,,6-11 Yrs,,Must Have,,"Hybrid - Bengaluru, Mumbai (All Areas)",Consultant / Senior Consultant/ Manager,,,2026-03-06 09:37:09 +0000,,"Azure,.net,Angular,Microsoft Azure,Consulting,Management,Senior",
Capgemini,,5-10 Yrs,,Greetings from Capgemini!We are excited to invite experienced professionals for Azure D...,,"Hybrid - Bengaluru, Mumbai (All Areas)",Consultant _ Senior Consultant _ Manager,,,2026-03-06 09:37:09 +0000,,"Azure Cloud,Azure.net,Angular,Microsoft Azure,Consulting,Management,Senior,Cloud",
Hexaware Technologies,,8-13 Yrs,,We are looking for the Immediate joiner only. Experience Required:- 5 years to 14 Years...,,"Chennai, Bengaluru, Mumbai (All Areas)",Python+React+Fast API+AWS,,,2026-03-06 09:37:09 +0000,,"Fast api,React.Js,AWS,Python,API",
Capgemini,,14 Mar,,Required Skills Experience Range : 5 to 13 years,,"Hybrid - Bengaluru, Mumbai (All Areas)",Face To Face Drive - Java Backend and Full stack (Mumbai/BNG),,,2026-03-06 09:37:09 +0000,,"java,Full Stack,Spring Boot,Microservices,Java Fullstack,React.Js,AWS,Angular",
Hexaware Technologies,,6-9 Yrs,,Experience building and maintaining component libraries or design systems.,,"Chennai, Bengaluru, Mumbai (All Areas)",Application Front end Developer /Lead,,,2026-03-06 09:37:09 +0000,,"Javascript,React.Js,Angular,CSS,GIT,Typescript,HTML,Ci/Cd",
Hexaware Technologies,,5-10 Yrs,,MEARN Full Stack EngineerLocations: Bangalore / Chennai / Pune / Mumbai / Noida / Hyder...,,"India, Bengaluru, Mumbai (All Areas)",MEARN Full Stack Engineer,,,2026-03-06 09:37:09 +0000,,"Vue.Js,Azure Cloud,Javascript,Node.Js,Nextjs,Nuxtjs,Microsoft Azure,Cloud",
Genpact,,8-13 Yrs,,"Exp- 7-15 years . Location- Mumbai, Bangalore . NP- max 30 days . Mode-Hybrid, 12-10 PM...",,"Hybrid - Bengaluru, Mumbai (All Areas)",ML Engineer/Data Scientist,,,2026-03-06 09:37:09 +0000,,"Snowflake,Machine Learning,Data Bricks,Unity Catalog,Python,Data Science,Catalog,Ml",
BDO India,,0-1 Yrs,,"Preparing deliverables capturing implications arrived based on above research, in word,...",,"Mumbai, Bengaluru",CA Fresher - M&A Tax and Regulatory Advisory,,,2026-03-06 09:37:09 +0000,,"Taxation,Advisory,Ca,Regulatory,M",
Accenture,,8-13 Yrs,,"Bachelors or Masters degree in Computer Science, Engineering, Data Science, Business An...",,Mumbai,S&C Global Network - AI - Public Services- Manager,,,2026-03-06 09:37:09 +0000,,"ai,project management,c,data pipelines,stakeholder communication,business development,data engineering,sales",
Hexaware Technologies,,9-14 Yrs,,"JD: • Mainframe skills - Mandatory: COBOL, JCL and DFSORT, DB2 • Having knowledge in an...",,"Hybrid - Chennai, Bengaluru, Mumbai (All Areas)",Mainframe Architect,,,2026-03-06 09:37:09 +0000,,"Mainframes,Modernization,VSAM,IDMS,SAS,Data Structures,Datacom,DFSORT",
Accenture,,5-10 Yrs,,About The Role  Job Title:Consultant Data AI Department:Public Service Data AI Growth N...,,Mumbai,S&C Global Network - AI - Public Services- Consultant,,,2026-03-06 09:37:09 +0000,,"ai,risk mitigation,sql,tensorflow,data science,spark,gcp,devops",
Capgemini,,6-11 Yrs,,"Preferred candidate profile . Strong programming experience in Java 8+, Spring Boot, JP...",,"Hybrid - Bangalore Rural, Bengaluru, Mumbai (All Areas)",Java Aws Developer,,,2026-03-06 09:37:09 +0000,,"Spring Boot,AWS,Microservices,Java,Boot,Spring,Development",
Accenture,,8-10 Yrs,,"About The Role  Job Title:Senior Manager Data AI  Location:Mumbai, Gurgaon, Bangalore D...",,Mumbai,S&C Global Network - AI - Public Services- Senior Manager,,,2026-03-06 09:37:09 +0000,,"ai,mlops,c,generative ai,business development,data engineering,sales,analytics",
Accenture,,3-8 Yrs,,"Experience :Minimum 3+ years of experience in Data Science, Machine Learning, or relate...",,Mumbai,S&C Global Network - AI - FS Banking & Capital-Consultant,,,2026-03-06 09:37:09 +0000,,"ai,kubernetes,python,c,data analysis,batch processing,machine learning,banking",
Tata Consultancy Services,,12-15 Yrs,,"AWS Blu Age L3 certification Technical Proficiency: Exposure to various technologies, s...",,"Hyderabad, Pune, Bengaluru",AWS Modernization Architect,,,2026-03-06 09:37:09 +0000,,"Modernization,AWS,Ci/Cd,Refactoring,Continuous Integration,Cd,Architecture,Continuous Integration",
Tata Consultancy Services,,5-10 Yrs,,Experience in developing custom AEM components and Templates Strong AEM experience with...,,"Hyderabad, Pune, Bengaluru",Aem Developer,,,2026-03-06 09:37:09 +0000,,"Aem,Java,HTML,Adobe Experience Management,Management,Development,Adobe",
EY,,3-8 Yrs,,"Hello, Currently we are Hiring for Python Developer Position Overview:Exp-1-13 yrsLocat...",,"Hybrid - Hyderabad, Pune, Bengaluru",Python Developer,,,2026-03-06 09:37:09 +0000,,"Al,AWS,Python,Azure,Django,Mean,Langchain,Machine Learning",
Infosys,,5-10 Yrs,,Educational Requirements Bachelor of Engineering Service Line Infosys Quality Engineering.,,"Hyderabad, Pune, Bengaluru",Performance Tester,,,2026-03-06 09:37:09 +0000,,"Performance Testing,Load Runner,JMeter,Runner,Software testing,Performance,Load",
